==============================================================================================
There are 173 records found

Search criteria:
  Start: 2020-01-01		End: 2022-01-05
  0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Realtime Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2020-10-12,15:39:44.5,24.5000,121.8900,9.30,4.90,196.00,55.68,145.52,307.17,62.13,39.63,1.158492,-3.051507,1.893015,-1.585992,-1.710552,0.215153,1.893015,1.158492,-3.051507,-1.710552,-0.215153,1.585990,22,3.55053e+22,4.30,16,6.2,0.0,0.346,229.500,7,70.251,3.903,-23.385,42.907,164.421,46.827,B1
2020-10-16,21:06:39.5,23.0900,120.2500,15.90,4.00,217.72,60.17,148.63,324.59,63.16,33.89,1.294386,-2.298636,1.128308,0.061835,-0.824668,-0.119560,1.128308,1.294386,-2.298636,-0.824668,0.119560,-0.061835,21,2.19416e+21,3.50,19,29.2,1.8,0.463,249.600,7,90.559,1.857,-1.490,47.791,-177.759,42.149,B4
2020-10-17,12:07:55.5,23.2800,120.3800,13.00,4.20,225.85,18.00,132.77,1.65,76.88,77.55,-0.340842,-3.764537,4.103205,2.028733,-0.294100,-8.130399,4.103205,-0.340842,-3.764537,-0.294100,8.130400,-2.028730,21,9.26648e+21,3.92,12,5.2,0.0,0.295,228.000,7,101.861,30.803,4.510,12.113,-104.335,56.398,A1
2020-10-17,15:03:13.5,23.2900,120.3800,11.20,5.20,15.20,42.12,73.57,216.88,49.96,104.35,0.076566,-1.104373,2.689486,0.745379,-0.538544,0.054386,2.689486,0.076566,-1.104373,-0.538544,-0.054386,-0.745379,23,2.25344e+23,4.84,12,18.4,19.8,0.259,275.300,7,-63.235,3.992,27.538,10.935,-173.002,78.342,A4
2020-10-17,15:05:59.5,23.2800,120.3800,12.30,4.70,220.72,46.23,111.61,10.92,47.83,68.97,-0.834528,-2.709023,2.300408,1.185495,-0.655141,-0.403388,2.300408,-0.834528,-2.709023,-0.655141,0.403388,-1.185490,22,2.94294e+22,4.25,14,3.9,-12.6,0.276,280.700,7,115.624,0.826,25.395,15.423,-151.384,74.553,A2
2020-10-26,01:08:03.5,24.5800,121.8500,63.70,4.70,356.86,39.16,67.97,204.43,54.17,106.99,-0.116458,-1.200029,1.316488,0.193951,-0.443157,0.262810,1.316488,-0.116458,-1.200029,-0.443157,-0.262810,-0.193951,22,1.37712e+22,4.03,65,24.5,0.0,0.367,207.400,7,-77.615,7.721,14.279,13.702,163.760,74.198,B3
2020-11-05,18:36:12.5,22.5900,121.3900,25.30,5.40,201.41,44.66,133.56,328.20,59.38,55.75,0.348104,-2.947244,1.431459,-0.338079,-1.012885,-0.512247,1.431459,0.348104,-2.947244,-1.012885,0.512247,0.338079,23,2.6136e+23,4.88,29,17.8,-12.7,0.334,308.600,7,81.917,8.209,-12.665,28.972,-173.808,59.670,B4
2020-11-06,01:40:18.5,23.1200,122.1300,29.00,5.40,158.47,73.68,0.50,68.33,89.52,163.68,1.152697,-1.350600,0.197903,1.351293,0.472314,-0.264367,0.197903,1.152697,-1.350600,0.472314,0.264367,-1.351290,23,1.92742e+23,4.79,30,21.2,0.0,0.399,289.000,7,114.574,11.115,-113.309,73.673,22.220,11.807,B3
2020-11-07,12:01:31.5,24.5000,121.9000,8.40,4.30,306.33,48.97,52.61,175.67,53.18,124.90,-0.493149,-4.330185,4.823334,-3.078666,-2.035968,1.592177,4.823334,-0.493149,-4.330185,-2.035968,-1.592180,3.078670,21,6.10635e+21,3.79,14,3.3,0.0,0.307,222.800,7,-118.219,2.314,-27.026,27.263,147.306,62.622,B1
2020-11-08,02:45:00.5,22.6100,121.0200,6.70,4.00,178.32,48.18,18.17,75.97,76.56,136.72,0.000346,-1.188200,1.187900,2.564200,2.061400,-0.227160,1.187900,0.000346,-1.188200,2.061400,0.227160,-2.564200,21,3.50536e+21,3.63,12,23.1,0.0,0.450,177.500,7,133.229,17.889,-117.887,45.079,27.809,39.481,B3
2020-11-16,07:19:12.5,21.9800,121.2600,68.10,5.20,4.89,21.66,148.68,124.38,78.94,71.26,0.069804,-0.636105,0.566300,-0.284699,1.124048,0.569785,0.566300,0.069804,-0.636105,1.124048,-0.569785,0.284699,23,1.42629e+23,4.71,56,22.9,0.0,0.322,313.500,7,-130.179,31.434,128.103,18.380,12.492,52.452,B3
